date,region,category,channel,sales,cost,profit,quantity,discount
2024-01-01,North,A,offline,701.0,413.25,287.75,6,0.045
2024-01-01,North,B,offline,547.07,341.77,205.3,6,0.017
2024-01-01,North,C,offline,781.19,466.56,314.63,5,0.101
2024-01-01,South,A,offline,347.95,214.5,133.45,3,0.109
2024-01-01,South,B,offline,363.57,229.28,134.29,4,0.001
2024-01-01,South,C,offline,1127.93,660.21,467.72,7,
2024-01-01,East,A,online,833.46,477.78,355.68,7,0.019
2024-01-01,East,B,online,634.15,394.21,239.94,7,0.146
2024-01-01,East,C,online,818.92,471.36,347.56,5,0.11
2024-01-01,West,A,online,844.74,500.85,343.89,7,0.115
2024-01-01,West,B,online,521.83,321.84,199.99,6,0.058
2024-01-01,West,C,online,469.31,273.03,196.28,3,0.056
2024-01-08,North,A,online,728.44,424.18,304.26,6,0.042
2024-01-08,North,B,online,384.39,228.67,155.72,4,0.122
2024-01-08,North,C,online,661.47,377.21,284.26,4,0.076
2024-01-08,South,A,online,984.06,572.48,411.58,8,0.137
2024-01-08,South,B,online,653.16,384.28,268.88,7,0.006
2024-01-08,South,C,online,643.02,378.64,264.38,4,
2024-01-08,East,A,offline,848.74,504.09,344.65,7,0.079
2024-01-08,East,B,offline,640.47,385.35,255.12,7,0.049
2024-01-08,East,C,offline,968.97,583.5,385.47,6,0.18
2024-01-08,West,A,offline,600.31,371.66,228.65,5,0.102
2024-01-08,West,B,offline,257.08,156.46,100.62,3,0.125
2024-01-08,West,C,offline,1138.42,664.69,473.73,7,0.076
2024-01-15,North,A,offline,998.09,595.67,402.42,8,0.172
2024-01-15,North,B,offline,289.21,176.8,112.41,3,0.107
2024-01-15,North,C,offline,670.25,382.96,287.29,4,0.087
2024-01-15,South,A,offline,641.23,374.74,266.49,5,0.053
2024-01-15,South,B,offline,454.45,297.96,156.49,5,0.174
2024-01-15,South,C,offline,836.33,496.54,339.79,5,0.031
2024-01-15,East,A,online,873.88,517.2,356.68,7,0.106
2024-01-15,East,B,online,273.35,156.93,116.42,3,0.186
2024-01-15,East,C,online,1176.34,684.8,491.54,7,0.012
2024-01-15,West,A,online,1014.8,569.11,445.69,8,0.097
2024-01-15,West,B,online,290.81,179.32,111.49,3,0.026
2024-01-15,West,C,online,832.76,486.22,346.54,5,0.174
2024-01-22,North,A,online,750.01,445.41,304.6,6,0.146
2024-01-22,North,B,online,373.24,247.55,125.69,4,0.13
2024-01-22,North,C,online,846.86,491.03,355.83,5,0.045
2024-01-22,South,A,online,638.15,362.1,276.05,5,0.044
2024-01-22,South,B,online,290.82,166.39,124.43,3,0.181
2024-01-22,South,C,online,1336.68,795.99,540.69,8,0.134
2024-01-22,East,A,offline,619.91,383.26,236.65,5,
2024-01-22,East,B,offline,487.35,300.09,187.26,5,0.038
2024-01-22,East,C,offline,674.17,399.63,274.54,4,0.093
2024-01-22,West,A,offline,895.4,532.79,362.61,7,0.02
2024-01-22,West,B,offline,469.53,301.72,167.81,5,0.05
2024-01-22,West,C,offline,674.87,399.58,275.29,4,0.056
2024-01-29,North,A,offline,663.08,375.22,287.86,5,0.172
2024-01-29,North,B,offline,563.56,370.36,193.2,6,0.167
2024-01-29,North,C,offline,1395.52,828.92,566.6,8,0.033
2024-01-29,South,A,offline,763.93,449.34,314.59,6,0.012
2024-01-29,South,B,offline,504.03,289.11,214.92,5,0.157
2024-01-29,South,C,offline,1030.77,627.57,403.2,6,0.199
2024-01-29,East,A,online,913.35,517.34,396.01,7,0.059
2024-01-29,East,B,online,778.55,475.11,303.44,8,0.15
2024-01-29,East,C,online,692.6,409.32,283.28,4,0.171
2024-01-29,West,A,online,664.59,364.33,300.26,5,0.037
2024-01-29,West,B,online,588.55,347.44,241.11,6,0.024
2024-01-29,West,C,online,1368.31,821.3,547.01,8,0.124
2024-02-05,North,A,online,924.12,537.8,386.32,7,0.187
2024-02-05,North,B,online,403.26,233.31,169.95,4,0.079
